Cycle,TotalEnergy
1850,-317.506
1860,-320.607
1870,-324.687
1880,-342.735
1890,-331.502
1900,-324.776
1910,-324.062
1920,-311.015
1930,-303.993
1940,-313.87
1950,-316.359
1960,-315.929
1970,-317.475
1980,-295.941
1990,-308.923
2000,-297.306
2010,-309.734
2020,-323.162
2030,-315.408
2040,-318.381
2050,-336.949
2060,-335.802
2070,-328.246
2080,-323.083
2090,-323.454
2100,-328.8
2110,-331.694
2120,-320.508
2130,-325.063
2140,-326.895
2150,-320.799
2160,-327.703
2170,-316.911
2180,-326.608
2190,-310.338
2200,-319.836
2210,-326.191
2220,-320.158
2230,-315.967
2240,-309.925
2250,-318.098
2260,-305.041
2270,-299.464
2280,-331.416
2290,-331.392
2300,-317.243
2310,-327.297
2320,-323.094
2330,-330.132
2340,-302.836
2350,-317.668
2360,-321.584
2370,-310.991
2380,-310.848
2390,-313.787
2400,-327.081
2410,-299.219
2420,-310.098
2430,-318.669
2440,-326.369
2450,-324.172
2460,-312.708
2470,-322.238
2480,-301.415
2490,-314.715
2500,-301.305
2510,-313.547
2520,-310.881
2530,-320.661
2540,-311.7
2550,-308.41
2560,-314.527
2570,-318.09
2580,-316.161
2590,-323.155
2600,-311.717
2610,-316.676
2620,-329.388
2630,-320.669
2640,-331.389
2650,-307.671
2660,-307.439
2670,-321.606
2680,-313.992
2690,-308.618
2700,-322.725
2710,-304.091
2720,-314.403
2730,-305.576
2740,-303.511
2750,-307.99
2760,-300.635
2770,-322.913
2780,-328.805
2790,-316.923
2800,-320.393
2810,-320.515
2820,-311.524
2830,-310.39
2840,-296.771
2850,-323.386
2860,-316.104
2870,-320.149
2880,-322.688
2890,-323.101
2900,-315.508
2910,-313.108
2920,-322.14
2930,-314.646
2940,-318.73
2950,-325.029
2960,-314.624
2970,-310.574
2980,-338.409
2990,-311.866
3000,-317.351
3010,-335.889
3020,-317.839
3030,-315.905
3040,-326.589
3050,-324.4
3060,-315.97
3070,-304.327
3080,-321.983
3090,-319.24
3100,-320.629
3110,-332.467
3120,-308.932
3130,-305.233
3140,-320.249
3150,-317.65
3160,-317.171
3170,-318.345
3180,-334.619
3190,-327.493
3200,-313.68
3210,-317.33
3220,-314.403
3230,-310.166
3240,-316.053
3250,-322.502
3260,-305.647
3270,-315.102
3280,-302.505
3290,-300.154
3300,-309.191
3310,-310.933
3320,-315.481
3330,-307.926
3340,-317.278
3350,-320.54
3360,-324.861
3370,-315.789
3380,-330.47
3390,-291.9
3400,-317.204
3410,-322.939
3420,-323.211
3430,-314.452
3440,-314.715
3450,-318.16
3460,-317.704
3470,-312.159
3480,-314.835
3490,-332.331
3500,-313.702
3510,-323.622
3520,-326.591
3530,-322.356
3540,-307.168
3550,-330.914
3560,-321.649
3570,-336.089
3580,-316.466
3590,-310.182
3600,-315.277
3610,-327.437
3620,-313.87
3630,-329.137
3640,-315.723
3650,-326.567
3660,-318.393
3670,-335.543
3680,-327.214
3690,-304.879
3700,-307.926
3710,-319.007
3720,-328.946
3730,-299.473
3740,-329.565
3750,-326.425
3760,-316.243
3770,-328.38
3780,-309.189
3790,-321.845
3800,-323.453
3810,-336.454
3820,-332.319
3830,-322.471
3840,-300.823
3850,-319.282
3860,-335.776
3870,-328.51
3880,-328.618
3890,-318.295
3900,-319.672
3910,-316.68
3920,-324.384
3930,-337.475
3940,-315.955
3950,-322.078
3960,-322.97
3970,-325.329
3980,-325.232
3990,-328.381
4000,-325.541
4010,-319.714
4020,-344.659
4030,-305.291
4040,-300.314
4050,-319.423
4060,-319.036
4070,-330.795
4080,-331.805
4090,-326.79
4100,-333.333
4110,-337.282
4120,-326.15
4130,-319.593
4140,-318.215
4150,-325.76
4160,-338.8
4170,-332.345
4180,-324.666
4190,-328.845
4200,-320.157
4210,-324.262
4220,-326.772
4230,-324.725
4240,-327.169
4250,-330.597
4260,-325.662
4270,-297.312
4280,-328.975
4290,-315.936
4300,-311.373
4310,-318.131
4320,-327.414
4330,-312.516
4340,-319.251
4350,-311.909
4360,-300.236
4370,-315.466
4380,-310.613
4390,-321.84
4400,-318.761
4410,-339.195
4420,-324.277
4430,-309.889
4440,-340.492
4450,-322.756
4460,-326.658
4470,-317.318
4480,-331.035
4490,-310.402
4500,-312.141
4510,-313.321
4520,-327.241
4530,-298.877
4540,-320.385
4550,-324.146
4560,-311.752
4570,-322.426
4580,-326.462
4590,-321.805
4600,-321.311
4610,-306.519
4620,-312.769
4630,-310.266
4640,-313.355
4650,-308.741
4660,-316.299
4670,-338.852
4680,-324.007
4690,-320.777
4700,-313.165
4710,-322.947
4720,-310.734
4730,-336.596
4740,-322.296
4750,-324.317
4760,-309.447
4770,-322.352
4780,-316.689
4790,-309.386
4800,-323.088
4810,-326.757
4820,-327.324
4830,-331.247
4840,-322.676
4850,-320.505
4860,-323.335
4870,-312.847
4880,-331.581
4890,-323.574
4900,-317.768
4910,-316.373
4920,-330.117
4930,-311.988
4940,-313.174
4950,-323.659
4960,-309.58
4970,-319.506
4980,-310.046
4990,-320.015
